utterance,label
Oh my God!,2
Happy?! Is that what I’m supposed to be Vic? Happy?,2
"Well, why don’t you tell me what you’re supposed to be!",2
Huh?,2
Because I sure as hell can’t figure it out!,2
I talk to you and nothin’.,2
"You look at me, and it’s nothin’.",2
Nothing.,2
"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",1
I have a question about this scene.,0
Yes?,0
"Well, I don’t understand why Adrienne’s attracted to Victor.",2
"Peel the onion. First of all, he’s good looking.",0
Yeah.,0
I think my character’s gonna need a little bit more of reason than that.,0
"Oh, hey, how about this one.",0
"Ah, it’s says so in the script!",2
"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.",2
It doesn’t say that in the script.,2
It does in mine!,2
I can’t,2
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,2
Y’know who has a great video camera?,0
Greg and Jenny?,0
Do you still wanna call ‘em? I wanna call ‘em.,0
Let’s call ‘em.,0
Yeah! Ask them if they brought their friends any souvenirs!,1
Hello?  Eighth street deli?,0
"Hey, hang up! You get food poisoning just talkin’ to that place.",2
"Uh sorry, wrong number.",2
Here you go.,0
Hello?   It’s the deli again!,2
All right! I’ll have a sandwich!,1
I don’t think this number’s right!,2
Oh come on!!,2
"Gotta go. I miss you too, I love you, but it's getting real late now",2
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",2
Her name's Ronni. She's a pet mortician.,0
Sure. So how long you been...,0
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",0
Since then?!,2
"No, it's only been six years.",0
I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,0
...Joe.,0
Y'ever been in love?,0
...I d'know.,0
Then y'haven't. You're burning your tomatoes.,0
You're one to talk.,2
"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",0
Oh man. Please tell me one of 'em is Ma.,2
"Of course, course one of 'em's Ma. What's the matter with you.",2
"Everything’s gonna be all right. Okay, Dick?",0
"Hello, I am Guru Saj--Whoa!!  That’s supposed to be a duck right? ‘Cause otherwise, this is waaay out of my league.",2
"Hey, Rach, how was work?",0
"Oh, great. Although I did sit down where there wasn’t a chair.",0
"By the way, Ross dropped by a box of your stuff.",0
"Oh, well, I guess I had that one coming.",0
"I’m just gonna throw it out, it’s probably just a bunch of shampoo and...",0
Something wrong?,0
No. Nothing.,0
"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",0
"Yeah, that's it?",1
Yeah.,0
"Dude, I am sorry about what I said!",2
"No, no, you’re right, it is a ridiculous name!",2
It’s not that bad.,0
"Yes it is! From now on, I have no first name.",2
"So, you’re just Bing?",0
Because we won our apartment back!,1
"What? Ace is high! Jack, queen, king, ace!",2
"No! Ace is low! Ace, two, three, four!",2
I don’t know. Ooh! Ooh! Look it!  Ah-ha!,1
"All right, cut, let’s pick again, pick again.",0
Okay.,0
Come on apartment! Come on apartment!  Oh! I know queen is high!,2
"Uh-huh, not as high as… It worked! King!",1
Yeah baby!,1
"But, we pick again! We pick again!",1
Why?!,0
I don’t know!,2
Tickets please!  That’s courtside baby!,1
"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",2
No they didn’t!,1
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",0
It's gonna be worth it.,0
"It's a known fact that women love babies, all right?",0
Women love guys who love babies.,0
It's that whole sensitive thing.,0
"Quick, aim him at that pack o' babes over there.",0
Maybe one of them will break away.,0
"No, no wait, for get them, we got one, hard left.",1
"All right, gimme the baby.",0
"No, I got him.",0
"Oh, seriously you want him?",1
Hello.,0
"Well, don't, don't think me immodest, but, me?",1
You wanna smell him?,0
"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",1
What'd I tell you? What'd I tell you?,1
"Well, we are great guys.",0
Bye.,0
"Well, not really.",0
"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",0
"Especially by that professor we ran into last night, Judgey von Holierthanthou.",2
"Well Ross, you be careful now. You don’t want to get a reputation as y’know Professor McNailshisstudents.",1
Yeah. What-what should I do?,2
"Well Ross, it seems pretty clear.",0
I mean what’s more important?,0
"What people think or how you feel, huh?",0
"Ross, you gotta follow your heart.",0
Joey that is so sweet.,1
Hey.,0
"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",0
I couldn’t do it.,2
You couldn’t do it?!,2
"Hey, relax I just need more time. We’re going to dinner tonight.",0
What?! You’re going out with her again!,2
Going out with who?,0
"Uh, Dana Keystone from college.",0
Oh yeah! Wasn’t she uh,1
"No, that was Dana Caplin.",0
Joey! You didn’t even know her!,1
Ah whatever!,2
"Morning! Hey, how’s my favorite genius and my little robot buddy?!",1
Don’t touch him!,2
Okay!,1
All right.,0
"Umm, all right Wayne, level with me.",0
I-I keep hearing all these rumors that I might get fired.,2
"Okay, they even have actors coming in to read for my part!",2
"Come on man, you-you got to give me a second chance!",2
"I mean, I love-I love this little guy!",1
Ah-ah!!,2
"Okay, that’s why you didn’t want me to touch him right?",2
Here you go!,0
Okay?,0
Stupid!,2
I can’t believe it!,2
God!,2
"Hey, how you doin’?",0
Hey.,0
"Hi. Look um, about what happened earlier...",2
"No, hey, well, I-I completely understand. You were, you were stressed.",0
I was gonna give you a chance to apologise to me.,2
For what? For letting you throw me out of your office?,2
You had no,2
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",2
"But I told you, I didn’t have the time!",2
"Yeah, well you never have the time. I mean, I don’t feel like I even have a girlfriend anymore, Rachel.",2
"Wh, Ross what do you want from me?",2
"You want me, you want me to quit my job so you can feel like you have a girlfriend?",2
I know.,0
"Ooh, I have to tell you something.",1
What?,0
But I can’t tell you.,0
"Okay, but wouldn’t it be easier if you had to tell me something that you could tell me.",0
"Well, sure in a perfect world. But, no, I promised I wouldn’t tell, and I swore to like all my gods.",0
Okay. Does it have to do with Ross and Rachel?,0
No.,0
Does it have to do with Joey?,0
No.,0
Does it have to do with-with Chandler and that sock that he keeps by his bed?,0
"No, but let’s come back to that later!",0
Hi!,1
Richard!,1
"Actually, I’m not here to complement the chef.",0
"Ohh… Oh, that’s okay I hate when people come back to complement the chef.",0
Like I have nothing better to do!,0
So what’s up?,0
"Well, it was great seeing you the other night.",1
"Oh, good to see you too. Did you come down here to tell me that?",0
No! I came here to tell you something else.  I came here  to tell you I still love you.,1
"One pregnant woman at a time, please! I just want you to be okay.",2
So forcing her to marry Bobby is gonna make that happen?,2
"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts—Oh forget it! I can’t!",2
"Joey, I am scared to death about this.",2
"But I really think I can do it, I’m just gonna need some help.",2
And Bobby’s gonna be here the whole time.,0
"You bet I am!  And to answer your earlier question, we’re straight-up gangster rap.",1
"Look, Rachel’s told me how much easier you’ve made all this on her. Why can’t you do that for me?",2
Because! ‘Cause… ‘Cause you’re my baby sister!,2
And you’re my big brother!,1
"I mean, you’re my favorite guy in the whole world.",0
I’m not even scared to tell mom and dad.,0
I was scared of telling you.,2
"Well I’d be scared of them, but all right.",2
"Joey, I can’t stand the thought of having this baby with you mad at me.",2
I want him to have his uncle.,2
Is my baby gonna have his Uncle Joey?,2
Of course he’s gonna have his Uncle Joey!,1
"We’re gonna be all right. I mean, even if we’re not married this baby is gonna be so loved. Not just by us.",1
That’s right! By his uncle too!,1
And by you.,1
"Okay Bobby, why don’t we just come over here and let them have a little moment.",0
Come here!,1
No! Seriously! What’s wrong with you?!,2
I had a really nice time tonight.,1
So did I. I'm really glad Monica asked us out.,1
"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.",0
You're sister? You're sister's asleep on the couch?  Ohhh! I saw,1
"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",0
Hi!,1
"Nice to meet you. I wish you'd told me we were having company, I'd fix myself up!",1
Like it would help.,0
You are so bad!,1
You are!,1
You are!,1
You are!,1
You are!,1
You are!,1
You are!,1
You are so dead! I'm gonna get you.,1
"Uh, it was very nice meeting you.",0
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",1
"Hi Mom, it's Jill.",0
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!",1
"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",0
Jill says vestibule... I'm going with vestibule.,0
"I'm fine. No, I'm not alone... I don't know, some guy.",0
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was",1
Are you seeing anybody right now?,0
"Og-ee-op, I’m not asking for me, I’m… I mean… No, I’m-I’m not gay, I’m not asking you out.",2
I’m not-I’m not-I’m not gay!,2
Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy?,0
Uh-huh.,0
That sounds great!,1
Hey!,0
"Umm, excuse me, we switched apartments. You can’t eat are food anymore, that-that gravy train had ended.",2
There’s gravy?,1
If you have the big apartment you have to deal with people coming over all the time.,0
"That fridge has got to be stocked, okay, that’s your department now.",0
What are you doing?,0
I think I left a donut up here.,0
"So, in conclusion, the lines all go up , so I’m happy.",0
Great job team!,1
Tomorrow at 8:30.,0
Phil!,1
Nice job.,1
Stevens!,1
Way to go!,1
"Joel-burg, you maniac!",1
I love ya!,1
Bing!,1
"Oh, excuse me. I forgot my briefcase y'know, by accident.",0
"Of course, you did.",1
Forgot something else too ya bastard!,1
"Well, what about you?",0
You’re not feeling left out or anything are ya?,0
"No. No, not at all, that’s-that’s ridiculous.",2
"Everybody else got one, and you want one too. Don’t you?",1
"Ye-ye-yeah, yes I do!",2
"Now get on out of here, you!",1
Hey Bob.,0
Hey! How’s my pal Toby doing today?,1
"If I see him, I’ll ask.",0
Toby!,1
Yeah!,1
Oh then you know each other.,0
We’re on a semi-first name basis.,0
What do you think of adding him to our team?,0
"Bob? Ooh, working here with us? Everyday? Yeah, I don’t know if he has what it takes.",2
Really? They love him down on six.,2
But this is eleven. It’s almost twice as hard up here.,0
Hey! Guess what I got for your wedding!,1
A freakish thin date with a hanger for her head?,0
"No. Rachel hooked me up with a tux! But not just any tux, Batman’s tux!",1
What?,2
That’s right! Made expressly for Val Kilmer and worn by him in the hit film…that Batman film he was in.,1
You can’t wear that! I’m wearing the famous tux! James Bond’s tux!,2
So?,0
So—If you wear that you’ll make mine less special.,2
"Sorry, I just don’t like the idea of when I say ""I do,"" he’s thinking, ""Yeah, I’d do her too!""",2
Well then we still have a problem.,0
Yeah!,0
With what?,0
"Well, we’re trying to find someone to perform our wedding and they’re all either boring or annoying or y’know, can’t stop staring at the ladies.",0
Oo! You should have one of us do it!,1
"Phoebe, we’re getting",0
No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,1
I call it!!,1
What?! No! It was my idea!,2
Guys thank you very much but neither of you is marrying us.,0
Does calling it not mean anything anymore?!,2
"We are going to have a legitimate member of the clergy! And when I say legitimate I mean, gay and in control of his saliva!",0
"See, I see.... big passion in your future.",1
Really?,1
I do.,0
"Oh Ross, you're so great. [she playfully rubs his head and gets up]",1
"That was supposed to be a good thing, I forget why.",0
"Just listen, Monica, I, do you know, okay, do you know, I couldn’t sleep for like a month because I got like a dot of ink on one of the sofa cushions.",0
"Well, you-you coulda just turned the cushion over.",0
"Yeah, I would’ve except I had a big spaghetti stain on the other side.",0
What?!?!,2
"Okay, this is what I’m talking about, this. I-I need to live in a land where people can spill.",0
You can spill. In the sink.,0
"Aw, honey it’s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don’t see that happening.",2
"I love you, too.",1
"Aww, good.  What?",1
What? I’m just said.,2
"No you’re not, you’re wondering which cushion it is.",0
Oh my God! Are you serious?!,1
Uh-huh.,0
I would love to live with you Ross.. that’s-that’s great! Thank you!,1
"Well, I’m-I’m just glad I could, y’know, help you out.",0
"Ross-Ross, you have no idea what this means to me!",1
"I mean, I mean I was gonna be homeless.",2
You just saved me!,1
You’re my hero!,1
"Hero, I uh, I don’t know—well, all right.",0
"Oh, I have to go tell Monica what a wonderful brother she has!",1
"Oh please!   You’re gonna say things now, aren’t ya?",1
No.,0
"No, I won’t.",0
"But I should tell you this, this exact same thing happened to my roommate Denise.",0
"She moved in with a guy who was secretly married to her and he said he didn’t love her, but he really did, and it just blew up!",2
"...Dammit, hire the girl!  Okay, everybody ready?",2
"Uh, listen, I just wanna thank you for this great opportunity.",1
Lose the robe.,0
Me?,2
That's great.,1
"Well, I'm gonna get another espresso. Can I get you another latte?",0
"No, no, I'm still working on mine.",0
That's it?,2
"Yeah, it was really hard.",2
"Oh, yeah, that hug looked pretty brutal.",0
"Ok, you weren't there.",2
"Wow! That’s ah, that’s pretty nice!",1
Pretty nice?,0
"You’ll have to pardon my roommate, he wanted to marry this.",0
"We don’t have 50 bucks, but would you be willing to trade for it? We’ve got a canoe.",0
"Y'know, I, I really don’t think we need a canoe.",0
You gotta take the canoe!,2
"All right, just, just take the entertainment center, and then when you get home, throw the canoe away!",0
We’re not throwing it away! I built that canoe!,2
Good for you!!,2
Pheebs?,0
Yeah?,0
"Okay. Then I guess it’s just, wait here then.   Hi. I need one fake ticket to Yemen.",0
One ticket to Yemen?,2
"Oh no-no-no, no. No, no, no, I just, I just need a pretend ticket.",0
"I’m sorry sir, I don’t understand.",2
What would you give to a kid if he wanted a ticket to play with?,0
Are you travelling with a child?,0
No.,0
